Component_ID,Lot_ID,Iddq_uA_0h,Iddq_uA_24h,Iddq_uA_96h,Iddq_uA_168h,Leakage_nA_0h,Leakage_nA_24h,Leakage_nA_96h,Leakage_nA_168h,PropDelay_ns_0h,PropDelay_ns_24h,PropDelay_ns_96h,PropDelay_ns_168h,Ground_Truth
COMP_00083,LOT_00,12.225,12.32,12.472,12.611,456.04,455.32,459.96,463.57,3.1147,3.1423,3.1706,3.2055,Normal
COMP_00084,LOT_00,12.559,12.668,12.777,12.715,449.27,444.96,452.07,459.16,3.1717,3.1808,3.2235,3.2568,Normal
COMP_00085,LOT_00,12.395,12.43,12.644,12.618,424.35,421.3,431.26,436.11,3.1872,3.1927,3.2183,3.2588,Normal
COMP_00086,LOT_00,12.457,12.453,12.661,12.712,460.51,461.4,466.14,470.41,3.1481,3.1389,3.1359,3.1602,Normal
COMP_00087,LOT_00,11.865,11.913,12.004,12.014,460.11,458.13,466.24,467.51,3.1821,3.1828,3.2132,3.2365,Normal
COMP_00088,LOT_00,11.682,11.799,11.82,11.973,413.12,412.23,418.89,422.15,3.2068,3.2237,3.2403,3.2693,Normal
COMP_00089,LOT_00,11.782,11.865,12.079,12.223,451.37,454.24,458.89,459.83,3.1657,3.1909,3.2346,3.2625,Normal
COMP_00090,LOT_00,12.467,12.528,12.668,12.746,463.68,463.39,466.7,472.82,3.1181,3.1466,3.1878,3.2008,Normal
COMP_00091,LOT_00,11.785,11.802,11.884,12.051,450.11,453.45,461.58,466.56,3.1101,3.1467,3.1875,3.2265,Normal
COMP_00092,LOT_00,12.252,12.34,12.31,12.463,448.65,450.68,458.1,468.03,3.2064,3.2065,3.2721,3.2718,Normal
COMP_00093,LOT_00,12.193,12.161,12.355,12.49,455.02,458.14,459.9,470.25,3.2428,3.2627,3.3077,3.3427,Normal
COMP_00094,LOT_00,11.994,11.967,12.082,12.229,457.28,459.23,462.99,466.42,3.1519,3.1553,3.191,3.2491,Normal
COMP_00095,LOT_00,12.542,12.967,14.397,16.7,453.35,463.86,509.49,584.42,3.1519,3.201,3.2933,3.4307,Drift_Anomaly
COMP_00096,LOT_00,11.965,12.043,12.251,12.429,436.2,433.67,437.05,435.89,3.1786,3.2055,3.2334,3.2668,Normal
COMP_00097,LOT_00,12.299,12.223,12.385,12.586,446.34,443.21,447.5,452.22,3.2013,3.2116,3.2278,3.2577,Normal
COMP_00098,LOT_00,12.183,12.134,12.341,12.36,455.77,457.48,463.55,462.99,3.1899,3.2135,3.2268,3.2582,Normal
COMP_00099,LOT_00,12.111,12.204,12.265,12.196,481.78,484.39,487.25,490.38,3.165,3.171,3.2085,3.2537,Normal
COMP_00100,LOT_00,11.62,11.505,11.791,11.789,446.87,444.26,452.01,456.09,3.199,3.2132,3.2362,3.2441,Normal
COMP_00101,LOT_00,12.286,12.371,12.623,12.71,422.95,425.52,428.35,428.85,3.1829,3.2078,3.2228,3.2405,Normal
COMP_00102,LOT_00,12.282,12.322,12.512,12.753,438.87,443.63,443.2,454.9,3.1586,3.1482,3.1953,3.2332,Normal
COMP_00103,LOT_00,12.128,12.098,12.16,12.287,440.68,439.46,450.12,449.46,3.1245,3.1544,3.1553,3.1735,Normal
COMP_00104,LOT_00,12.698,12.889,12.953,13.118,433.67,432.86,439.26,444.72,3.1384,3.1468,3.242,3.2828,Normal
COMP_00105,LOT_00,12.677,12.657,12.874,13.054,442.95,448.52,448.86,456.09,3.2232,3.2317,3.2531,3.2915,Normal
COMP_00106,LOT_00,12.503,12.416,12.525,12.63,508.48,518.21,522.11,529.14,3.1753,3.2111,3.2178,3.2672,Leakage_Only_Outlier
COMP_00107,LOT_00,11.728,11.82,11.987,12.129,466.26,472.13,477.57,485.9,3.1178,3.1228,3.1814,3.2208,Normal
COMP_00108,LOT_00,12.372,12.402,12.556,12.496,449.82,456.78,463.04,467.64,3.4691,3.4681,3.5099,3.5306,Timing_Outlier
COMP_00109,LOT_00,11.938,11.937,11.937,12.093,449.48,443.92,452.88,454.44,3.1626,3.1498,3.179,3.2103,Normal
COMP_00110,LOT_00,12.555,12.666,12.785,12.819,433.3,443.23,444.66,449.76,3.1349,3.1461,3.1664,3.1918,Normal
COMP_00111,LOT_00,12.84,12.879,13.102,13.062,419.28,416.17,425.95,427.52,3.1856,3.2076,3.237,3.2527,Normal
COMP_00112,LOT_00,11.92,12.051,12.04,12.221,457.79,457.33,463.81,461.63,3.1209,3.1279,3.1901,3.1955,Normal
COMP_00113,LOT_00,12.531,12.616,12.753,12.859,436.02,433.75,438.87,442.2,3.2192,3.2351,3.2723,3.3361,Normal
COMP_00114,LOT_00,12.754,12.827,12.937,13.043,452.78,454.16,462.88,465.65,3.2187,3.2334,3.2649,3.2987,Normal
COMP_00115,LOT_00,11.867,11.917,12.106,12.304,439.21,441.25,446.66,454.56,3.1998,3.2106,3.2302,3.2393,Normal
COMP_00116,LOT_00,11.873,11.867,11.895,12.099,461.77,455.46,467.36,470.18,3.1549,3.1635,3.198,3.209,Normal
COMP_00117,LOT_00,12.122,12.096,12.206,12.366,437.47,441.09,445.38,452.72,3.1388,3.1571,3.1732,3.2103,Normal
COMP_00118,LOT_00,12.661,12.604,12.771,12.879,460.55,464.51,469.76,477.6,3.1742,3.2045,3.2228,3.2828,Normal
COMP_00119,LOT_00,12.494,12.589,12.696,12.744,484.92,487.55,492.56,490.19,3.2135,3.206,3.1932,3.22,Normal
COMP_00120,LOT_00,12.565,12.663,12.752,12.881,457.23,458.11,461.06,466.84,3.1064,3.1185,3.1629,3.1841,Normal
COMP_00121,LOT_00,11.554,11.595,11.832,11.934,457.32,461.61,464.61,470.77,3.1085,3.1191,3.1391,3.1564,Normal
COMP_00122,LOT_00,12.098,12.167,12.191,12.525,440.35,441.68,446.48,450.95,3.1402,3.1291,3.1478,3.1767,Normal
COMP_00123,LOT_00,12.083,12.1,12.297,12.354,451.93,451.21,453.54,454.27,3.1462,3.1593,3.1779,3.2121,Normal
COMP_00124,LOT_00,12.191,12.268,12.419,12.448,431.36,435.39,434.26,438.98,3.0765,3.0974,3.1242,3.1563,Normal
COMP_00125,LOT_00,11.817,12.197,12.267,12.438,438.52,438.47,443.05,447.4,3.1264,3.1786,3.1895,3.2122,Multivariate_Outlier
COMP_00126,LOT_00,12.128,12.232,12.369,12.437,456.62,458.13,465.29,470.87,3.1532,3.1632,3.1882,3.2237,Normal
COMP_00127,LOT_00,11.738,11.732,11.987,12.246,442.09,440.22,449.35,458.99,3.1437,3.1304,3.1237,3.1415,Normal
COMP_00128,LOT_00,12.557,12.555,12.711,12.799,436.52,435.58,442.33,445.22,3.2771,3.3051,3.3325,3.3685,Normal
COMP_00129,LOT_00,11.94,12.318,13.25,14.985,443.99,461.31,501.3,575.05,3.216,3.2351,3.3651,3.4707,Drift_Anomaly
COMP_00130,LOT_00,11.964,12.046,12.165,12.405,444.18,449.67,451.72,447.4,3.242,3.2522,3.2954,3.3594,Normal
COMP_00131,LOT_00,12.37,22.196,12.668,12.86,456.14,455.72,461.35,464.46,3.2189,3.2261,3.2694,3.2965,Sensor_Glitch
COMP_00132,LOT_00,12.302,12.428,12.509,12.542,452.28,456.99,461.37,466.28,3.1192,3.1168,3.1723,3.2033,Normal
COMP_00133,LOT_00,11.73,11.823,11.893,12.024,449.54,448.05,456.67,459.32,3.1687,3.1565,3.2099,3.2138,Normal
COMP_00134,LOT_00,14.345,14.309,14.548,14.632,527.54,529.9,533.31,541.75,3.2715,3.3093,3.3347,3.3781,Dynamic_Outlier
COMP_00135,LOT_00,12.323,12.342,12.531,12.592,455.3,454.67,455.51,462.95,3.2063,3.2276,3.2429,3.2631,Normal
COMP_00136,LOT_00,11.985,12.017,12.185,12.421,454.87,457.62,461.93,470.71,3.3007,3.3115,3.3227,3.3693,Normal
COMP_00137,LOT_00,12.476,12.415,12.58,12.592,438.57,442.1,450.97,460.82,3.1983,3.2171,3.2644,3.2952,Normal
COMP_00138,LOT_00,11.769,11.828,12.043,12.325,453.36,453.72,459.52,461.67,3.1076,3.1444,3.1835,3.2513,Normal
COMP_00139,LOT_00,11.423,11.472,11.623,11.774,469.41,468.29,471.23,475.55,3.1862,3.2099,3.2219,3.2164,Normal
COMP_00140,LOT_00,11.527,11.57,11.675,11.863,424.97,429.72,434.05,440.2,2.8762,2.8915,2.9316,2.9759,Timing_Outlier
COMP_00141,LOT_00,12.113,12.215,12.314,12.527,434.38,432.82,437.4,442.38,3.1579,3.1786,3.2267,3.2639,Normal
COMP_00142,LOT_00,11.78,11.825,11.956,12.132,460.29,457.21,463.0,465.46,3.1835,3.1948,3.2501,3.3087,Normal
COMP_00143,LOT_00,12.508,12.394,12.691,12.837,437.73,432.92,440.69,443.41,3.1502,3.1597,3.1926,3.2088,Normal
COMP_00144,LOT_00,12.083,12.385,13.441,14.95,435.1,446.09,481.91,540.73,3.2715,3.3153,3.3827,3.4867,Drift_Anomaly
COMP_00145,LOT_00,12.21,12.259,12.43,12.532,455.87,458.19,461.69,466.86,3.1427,3.152,3.2033,3.2453,Normal
COMP_00146,LOT_00,12.342,12.309,12.44,12.353,429.02,433.42,440.22,447.54,3.1257,3.1456,3.1602,3.1648,Normal
COMP_00147,LOT_00,11.922,11.974,12.108,12.41,445.81,449.2,452.78,451.55,3.1446,3.1434,3.1809,3.2387,Normal
COMP_00148,LOT_00,12.61,12.658,12.792,12.928,457.94,458.85,465.17,466.0,3.1643,3.1697,3.2126,3.2426,Normal
COMP_00149,LOT_00,11.888,11.922,12.166,12.303,448.45,445.62,455.73,454.63,3.127,3.1525,3.2026,3.2366,Normal
COMP_00150,LOT_00,12.088,12.471,13.776,16.162,462.23,479.1,524.59,616.22,3.2154,3.2468,3.3696,3.5212,Drift_Anomaly
COMP_00151,LOT_00,12.891,12.907,12.955,13.165,450.45,456.43,456.54,460.42,3.2017,3.2101,3.2665,3.2945,Normal
COMP_00152,LOT_00,11.982,11.909,12.013,12.122,420.42,420.96,425.57,428.87,3.0673,3.0636,3.1025,3.1308,Normal
COMP_00153,LOT_00,12.77,12.817,13.051,13.203,432.9,431.56,439.65,444.19,3.0805,3.0998,3.1381,3.1846,Normal
COMP_00154,LOT_00,11.605,11.526,11.723,11.883,422.72,426.79,429.19,431.05,3.2131,3.2326,3.2483,3.2732,Normal
COMP_00155,LOT_00,12.022,12.101,12.26,12.387,452.17,452.49,456.08,463.87,3.1701,3.1982,3.2264,3.2481,Normal
COMP_00156,LOT_00,12.23,12.36,12.41,12.547,349.48,353.47,362.27,372.38,3.1247,3.162,3.1542,3.162,Leakage_Only_Outlier
COMP_00157,LOT_00,12.188,12.179,12.441,12.552,446.89,448.64,452.27,461.73,3.2214,3.2379,3.2799,3.2947,Normal
COMP_00158,LOT_00,12.226,12.372,12.441,12.524,442.49,435.25,446.66,452.15,3.0347,3.0563,3.109,3.1682,Normal
COMP_00159,LOT_00,12.397,12.351,12.484,12.641,461.21,460.69,461.76,464.48,3.2149,3.2199,3.2588,3.2415,Normal
COMP_00160,LOT_00,11.811,12.031,12.071,12.1,458.34,455.81,461.6,467.05,3.2022,3.2068,3.2234,3.2698,Normal
COMP_00161,LOT_00,12.115,12.158,12.229,12.502,461.55,460.64,467.54,470.84,3.2096,3.2048,3.253,3.2869,Normal
COMP_00162,LOT_00,12.607,12.723,12.734,12.869,461.63,460.63,464.68,474.31,3.1321,3.1422,3.1701,3.1938,Normal
COMP_00163,LOT_00,12.307,12.393,12.509,12.627,445.89,444.13,448.85,455.58,3.108,3.117,3.1505,3.1994,Normal
COMP_00164,LOT_00,12.051,12.482,13.952,15.566,436.93,450.3,499.14,551.65,3.0989,3.1446,3.2809,3.3885,Drift_Anomaly
COMP_00165,LOT_00,11.763,11.733,11.809,11.861,445.31,446.33,455.46,455.82,3.1887,3.1784,3.2403,3.2615,Normal
COMP_00166,LOT_00,11.83,11.82,11.964,12.197,441.32,447.41,453.21,457.47,3.07,3.1051,3.1224,3.1519,Normal
COMP_00167,LOT_00,12.395,12.4,12.56,12.526,434.01,435.08,442.29,447.93,3.1366,3.1453,3.1473,3.1967,Normal
COMP_00168,LOT_00,12.716,12.643,12.861,12.852,425.23,427.57,438.24,442.1,3.1807,3.1951,3.2397,3.2617,Normal
COMP_00169,LOT_00,12.574,12.627,12.731,12.857,450.83,449.81,450.24,452.71,3.1873,3.21,3.2162,3.2478,Normal
COMP_00170,LOT_00,12.71,12.764,12.894,13.042,422.76,422.27,428.81,431.26,3.1588,3.1747,3.2039,3.2243,Normal
COMP_00171,LOT_00,11.856,11.865,11.965,12.007,427.44,431.75,433.75,437.76,3.1899,3.1953,3.2416,3.2631,Normal
COMP_00172,LOT_00,11.779,11.845,12.114,12.306,444.4,445.54,450.62,449.66,3.1697,3.1968,3.2283,3.2548,Normal
COMP_00173,LOT_01,12.442,12.43,12.568,12.611,457.44,458.59,466.29,471.73,3.0932,3.112,3.1428,3.1678,Normal
COMP_00174,LOT_01,12.411,12.52,12.879,12.93,433.52,432.53,436.61,441.36,3.1446,3.1492,3.1677,3.1973,Normal
COMP_00175,LOT_01,12.256,12.379,12.54,12.643,461.2,460.84,465.7,473.94,3.0843,3.1018,3.1244,3.1347,Normal
COMP_00176,LOT_01,12.037,11.929,12.152,12.265,438.95,436.15,441.52,447.26,3.4524,3.4632,3.4896,3.5204,Timing_Outlier
COMP_00177,LOT_01,12.273,12.407,12.511,12.578,452.02,453.53,459.16,467.24,3.1854,3.2921,3.3228,3.3955,Multivariate_Outlier
COMP_00178,LOT_01,11.798,11.801,12.038,12.08,449.69,453.49,457.58,468.16,3.2382,3.2295,3.2495,3.3191,Normal
COMP_00179,LOT_01,12.649,12.697,12.782,12.883,465.02,476.64,476.85,476.2,3.1471,3.1607,3.1643,3.2143,Normal
COMP_00180,LOT_01,12.225,12.37,12.552,12.678,442.64,444.08,449.34,458.43,3.1542,3.1542,3.2127,3.2559,Normal
COMP_00181,LOT_01,12.371,12.344,12.431,12.48,475.87,475.15,476.74,485.56,3.1178,3.1312,3.1899,3.2147,Normal
COMP_00182,LOT_01,12.403,12.348,12.469,12.536,446.11,447.92,452.43,455.28,3.1891,3.2133,3.2461,3.2924,Normal
COMP_00183,LOT_01,12.89,12.977,12.956,13.28,437.64,438.38,441.07,442.67,3.193,3.1831,3.1982,3.2073,Normal
COMP_00184,LOT_01,12.643,12.701,12.832,12.814,473.29,477.62,481.3,484.84,3.1985,3.1979,3.2021,3.2656,Normal
COMP_00185,LOT_01,11.912,12.039,12.184,12.295,560.47,561.46,569.24,570.47,3.1094,3.1383,3.1711,3.1736,Leakage_Only_Outlier
COMP_00186,LOT_01,12.652,12.718,12.856,13.004,466.82,468.1,467.41,471.74,3.2193,3.2191,3.2793,3.3295,Normal
COMP_00187,LOT_01,11.347,11.503,11.606,11.811,463.07,462.08,465.22,469.36,3.1884,3.1905,3.2105,3.2447,Normal
COMP_00188,LOT_01,11.968,11.921,12.04,12.119,462.33,462.83,471.58,474.26,3.0794,3.1033,3.1424,3.1907,Normal
COMP_00189,LOT_01,11.554,11.626,11.726,11.885,478.88,479.28,484.69,491.17,3.1508,3.148,3.2144,3.264,Normal
COMP_00190,LOT_01,12.539,12.581,12.795,12.794,470.1,470.58,476.87,479.92,3.2296,3.2299,3.2731,3.2898,Normal
COMP_00191,LOT_01,12.052,11.994,12.405,12.42,487.34,487.84,489.77,492.32,3.1068,3.1037,3.1457,3.1608,Normal
COMP_00192,LOT_01,9.708,9.809,9.975,10.097,353.29,355.6,356.3,360.6,3.1699,3.1885,3.2579,3.2872,Dynamic_Outlier
COMP_00193,LOT_01,11.726,11.794,11.912,12.036,459.6,465.71,467.15,476.72,3.2287,3.207,3.2321,3.2501,Normal
COMP_00194,LOT_01,12.278,12.425,12.401,12.649,449.65,452.13,457.1,456.66,3.1576,3.1667,3.2131,3.2305,Normal
COMP_00195,LOT_01,12.379,12.484,12.53,12.753,444.37,447.48,455.45,461.64,3.1516,3.1321,3.171,3.2134,Normal
